userid	CVS	tracker
1	moodler	dougiamas
17383	mjollnir_	mjollnir
423027	scyrma	scyrma
240338	nicolasconnault	nicolasconnault
24152	wildgirl	tsala
3176	stronk7	stronk7
3923	koenr	koen
104159	poltawski	poltawski
93821	tjhunt	timhunt
93817	sam_marshall	quen
51473	arborrow	aborrow
85841	toyomoyo	lazyfish
13727	martinlanghoff	martinlanghoff
1177	mits	mits
25214	urs_hunkler	urshunkler
68632	iarenaza	iarenaza
1473	thepurpleblob	howardsmiller
139623	ericmerrill	emerrill
143867	asoellei	asoellei
1601	mudrd8mz	mudrd8mz
26913	rtcn2	rtcn2
100764	dwoolhead	derekw
62053	fikar	fikar
264793	mattc-catalyst	matt.clarkson
8277	gbateson	xxxxxxx
81449	ganderson	ganderson
11995	ikawhero	ikawhero
6406	martignoni	mina
245242	jbeedell	jb_ou_oci
258	carlesbellver	none
93815	nfreear	nfreear
93820	jmg324	jenny-gray
112682	pichetp	ppichet
12863	skodak	skodak
66988	alex_little	alexlittle
34826	diml	vf
301577	fmarier	francois
21591	danmarsden	danmarsden
144169	cataluke	lingo
9561	mchurch	mchurch
18123	whchuang	chuang
12568	andreabix	andreabix
22721	jamiesensei	jamiesensei
3239	crbusch	me
2942	watcanz	jwatkins
2982	miksik	mixik
82371	moquist	moquist
11714	djachenko	mentis
8792	laaneoks	laaneoks
13075	mark-nielsen	bushido
18237	dlnsk	END
3432	michaelpenne	michaelp
12172	ethem	END
20216	joseph_rezeau	rezeau
2453	villate	jaime
36220	agrabs	grabs
3290	adamtpaw	adamtpaw
281930	alantrick	trick
5382	ralf-bonn	ralfh
4859	gustav_delius	delius
6219	barias	barias
67966	yogibear270	yogibear270
148995	garethmorgan	garethmorgan
120901	benteo	benteo
524	paca70	miisku
277253	aaboyd	aaboyd
68520	rashan	rashan
104646	andarweb	andarweb
39680	jsridden	trogdor
262644	pcross	pcross
289775	kaleel	kaleel
251334	malindahs	malindahs
44988	exe-cutor	l.haemmerle
141802	donal	donal@catalyst.net.nz
4057	julmis	julmis
23713	samulik	samulik
81450	mattgibson	mattgibson
36290	nicusx	nicus
53280	matangdilis	matangdilis
17619	ueu_ueu	ueu_ueu
468095	ian.elluminate	ian.elluminate
